,DATE,Mex_GDP_Growth %,Mex_Annual_GDP_Change,US_GDP_Growth %,US_Annual_GDP_Change,Mx_crimes_per_100k,mx_annual_per_change_crimes,mx_%pov_Under_US_$5.50_Per_Day,yearly_change_in_mx_pov_rate,MEXICO_TOTAL_KILOTONS_Co2,MEXICO_MT_Co2_PER_CAPITA,MEXICO_INFLATION_RATE_PERCENTAGE,MEXICO_INFLATION_ANNUAL_CHANGE,Number_Migrant_origin_Mexico_Destination_US,Number_Migrant_origin_World_Destination_US,Mexico Murder_Per 100K Population,Mexico Murder_Annual % Change,Date,us_border_spending_in_millions,kt of CO2 equivalent,Annual % Change,UNAUTHORIZED_POP_ENTERED_US
1,1989,4.1055,2.82,3.6727,-0.5,16.0,3.0,39.7,-1.13,361877.895,4.3934,20.0079,-94.15,9628973.0,38647700.0,17.0,4.0,1989,2000,473325.8,2.41,725193.437
2,1990,5.1758,1.07,1.886,-1.79,17.2653,3.0,39.0,-1.13,318427.612,3.7934,26.6517,6.64,4298014.0,23251026.0,17.2653,4.0,1990,263,494151.02,4.4,815876.0
3,1991,4.2148,-0.96,-0.1083,-1.99,17.691,2.47,39.0,-1.13,331958.842,3.882,22.6624,-3.99,4804000.2,24291031.4,17.691,2.47,1991,299,505174.028,2.23,648602.0
4,1992,3.5411,-0.67,3.5224,3.63,19.0571,7.72,45.7,6.0,334698.091,3.8438,15.5079,-7.15,5309986.4,25331036.8,19.0571,7.72,1992,326,494645.64,-2.08,558601.0
5,1993,1.9412,-1.6,2.7528,-0.77,18.0986,-5.03,39.0,-1.13,339468.858,3.8304,9.7515,-5.76,5815972.6,26371042.2,18.0986,-5.03,1993,363,502121.057,1.51,556605.0
6,1994,4.9411,3.0,4.0288,1.28,17.5684,-2.93,45.3,-0.4,352780.068,3.913,6.9658,-2.79,6321958.8,27411047.6,17.5684,-2.93,1994,400,520225.772,3.61,700030.0
7,1995,-6.2912,-11.23,2.6843,-1.34,17.0319,-3.05,39.0,-1.13,332816.92,3.6309,34.9993,28.03,6827945.0,28451053.0,17.0319,-3.05,1995,452,515961.212,-0.82,821533.0
8,1996,6.7733,13.06,3.7725,1.09,15.5722,-8.57,61.4,16.1,346417.823,3.719,34.3784,-0.62,7344461.8,29723653.0,15.5722,-8.57,1996,568,532804.427,3.26,755784.0
9,1997,6.8469,0.07,4.4472,0.67,14.3239,-8.02,39.0,-1.13,369769.279,3.9083,20.6256,-13.75,7860978.6,30996253.0,14.3239,-8.02,1997,717,539136.339,1.19,758703.0
10,1998,5.1639,-1.68,4.4814,0.03,14.2167,-0.75,53.4,-8.0,389087.035,4.0506,15.9284,-4.7,8377495.4,32268853.0,14.2167,-0.75,1998,877,692323.18,28.41,953591.0
11,1999,2.7536,-2.41,4.7532,0.27,12.565,-11.62,39.0,-1.13,391591.596,4.0169,16.5856,0.66,8894012.2,33541453.0,12.565,-11.62,1999,917,553847.34,-20,1131520.0
12,2000,4.9425,2.19,4.1275,-0.63,10.8564,-13.6,43.8,-9.6,398382.88,4.0281,9.4916,-7.09,9410529.0,34814053.0,10.8564,-13.6,2000,1055,576489.52,4.09,1389322.0
13,2001,-0.4044,-5.35,0.9983,-3.13,10.2544,-5.55,39.0,-1.13,412977.54,4.1175,6.3677,-3.12,9650636.0,35702901.0,10.2544,-5.55,2001,1146,547960.58,-4.95,1145813.0
14,2002,-0.0398,0.36,1.7417,0.74,9.9209,-3.25,40.6,-3.2,414389.335,4.0752,5.0307,-1.34,9890743.0,36591749.0,9.9209,-3.25,2002,1416,567679.66,3.6,906295.0
15,2003,1.4464,1.49,2.8612,1.12,9.7855,-1.36,39.0,-1.13,440208.682,4.2705,4.5469,-0.48,10130850.0,37480597.0,9.7855,-1.36,2003,1515,601685.72,5.99,779187.0
16,2004,3.9206,2.47,3.7989,0.94,8.926,-8.78,37.4,-3.2,441308.782,4.2224,4.6884,0.14,10370957.0,38369445.0,8.926,-8.78,2004,1409,567790.06,-5.63,812516.0
17,2005,2.3078,-1.61,3.5132,-0.29,9.359,4.85,36.7,-0.7,466361.726,4.3994,3.9881,-0.7,10611064.0,39258293.0,9.359,4.85,2005,1525,641308.82,12.95,873134.0
18,2006,4.4951,2.19,2.855,-0.66,9.7174,3.83,33.1,-3.6,479251.231,4.4557,3.6295,-0.36,10922583.6,40243363.0,9.7174,3.83,2006,1409,642137.77,0.13,749421.0
19,2007,2.2914,-2.2,1.8762,-0.98,8.1222,-16.42,39.0,-1.13,480520.013,4.4016,3.9668,0.34,11234103.2,41228433.0,8.1222,-16.42,2007,1525,646318.66,0.65,558276.0
