Macrotrends Data Download

Mexico GDP Growth Rate 1961-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1961-12-31,5
1962-12-31,4.6644,-0.34
1963-12-31,8.1069,3.44
1964-12-31,11.9055,3.8
1965-12-31,7.1,-4.81
1966-12-31,6.0961,-1
1967-12-31,5.8549,-0.24
1968-12-31,9.4233,3.57
1969-12-31,3.4186,-6
1970-12-31,6.5025,3.08
1971-12-31,3.7625,-2.74
1972-12-31,8.2288,4.47
1973-12-31,7.8611,-0.37
1974-12-31,5.7768,-2.08
1975-12-31,5.7445,-0.03
1976-12-31,4.4174,-1.33
1977-12-31,3.3906,-1.03
1978-12-31,8.9569,5.57
1979-12-31,9.6982,0.74
1980-12-31,9.2333,-0.46
1981-12-31,8.5256,-0.71
1982-12-31,-0.5208,-9.05
1983-12-31,-3.4864,-2.97
1984-12-31,3.4108,6.9
1985-12-31,2.1877,-1.22
1986-12-31,-3.079,-5.27
1987-12-31,1.7224,4.8
1988-12-31,1.2833,-0.44
1989-12-31,4.1055,2.82
1990-12-31,5.1758,1.07
1991-12-31,4.2148,-0.96
1992-12-31,3.5411,-0.67
1993-12-31,1.9412,-1.6
1994-12-31,4.9411,3
1995-12-31,-6.2912,-11.23
1996-12-31,6.7733,13.06
1997-12-31,6.8469,0.07
1998-12-31,5.1639,-1.68
1999-12-31,2.7536,-2.41
2000-12-31,4.9425,2.19
2001-12-31,-0.4044,-5.35
2002-12-31,-0.0398,0.36
2003-12-31,1.4464,1.49
2004-12-31,3.9206,2.47
2005-12-31,2.3078,-1.61
2006-12-31,4.4951,2.19
2007-12-31,2.2914,-2.2
2008-12-31,1.1436,-1.15
2009-12-31,-5.2857,-6.43
2010-12-31,5.1181,10.4
2011-12-31,3.663,-1.46
2012-12-31,3.6423,-0.02
2013-12-31,1.3541,-2.29
2014-12-31,2.8498,1.5
2015-12-31,3.2932,0.44
2016-12-31,2.6305,-0.66
2017-12-31,2.1131,-0.52
2018-12-31,2.195,0.08
2019-12-31,-0.0545,-2.25
